date	uid	event	value	timestamp
2013-02-01	18413	install.	7	1359661294188
2013-02-01	18114	visit	7	1359661593000
2013-02-01	18162	visit	0	1359661512433
2013-02-01	18416	install.	8	1359661539352
2013-02-01	18102	visit	7	1359661694435
2013-02-01	18419	visit	7	1359661654041
2013-02-01	18237	visit	4	1359660937000
2013-02-01	18260	visit	7	1359661508730
2013-02-01	18417	uninstall.	3	1359661588740
2013-02-01	18418	uninstall.	9	1359661592136
2013-02-01	427	visit	1	1359661428000
2013-02-01	123	visit	1	1359661588000
2013-02-01	121	visit	3	1359661522000
2013-02-01	18170	visit	0	1359661426000
2013-02-01	19	visit	1	1359661673089
2013-02-01	1262	visit	3	1359661442000
2013-02-01	1259	visit	1	1359661490000
2013-02-01	18419	install.	1	1359661642616
2013-02-01	18102	install.	6	1359661687145
2013-02-01	427	visit	8	1359661466000
2013-02-01	18162	install.	4	1359661512170
2013-02-01	17544	visit	9	1359661487000
2013-02-01	18146	visit	3	1359661371000
2013-02-01	18334	visit	9	1359661857000
2013-02-01	18210	visit	9	1359661637000
2013-02-01	18085	visit	0	1359661898000
2013-02-01	123	visit	1	1359662010732
2013-02-01	18249	visit	9	1359662097133
2013-02-01	18163	install.	8	1359661998803
2013-02-01	1262	visit	5	1359661767000
2013-02-01	18249	install.	8	1359662093428
2013-02-01	18191	visit	1	1359661852754
2013-02-01	18249	install.	1	1359662127739
2013-02-01	15924	visit	8	1359662290994
2013-02-01	18423	install.	7	1359662204964
2013-02-01	38	visit	6	1359661935000
2013-02-01	1259	visit	2	1359662143000
2013-02-01	18423	visit	8	1359662205228
2013-02-01	18424	visit	6	1359662347072
2013-02-01	123	visit	0	1359661924000
2013-02-01	18422	install.	3	1359662379435
2013-02-01	18249	visit	3	1359662128004
2013-02-01	19	visit	8	1359662323010
2013-02-01	121	visit	7	1359662107738
2013-02-01	18420	install.	1	1359662381666
2013-02-01	18422	visit	7	1359662671496
2013-02-01	18246	visit	4	1359662358000
2013-02-01	123	visit	5	1359662307000
2013-02-01	18249	visit	7	1359662587600
2013-02-01	18269	visit	7	1359662613850
2013-02-01	18090	visit	0	1359662593664
2013-02-01	18426	visit	8	1359662539151
2013-01-31	17544	visit	4	1359643377000
2013-02-01	18269	install.	2	1359662588377
2013-02-01	427	visit	7	1359662741310
2013-02-01	18300	visit	4	1359662955000
2013-02-01	18269	install.	8	1359662773770
2013-02-01	38	visit	4	1359662618000
2013-02-01	38	visit	8	1359662892826
2013-02-01	18269	visit	8	1359662776978
2013-02-01	18110	visit	1	1359662813000
2013-02-01	18269	visit	9	1359662786000
2013-02-01	17544	visit	1	1359658862000
2013-02-01	18269	visit	9	1359662774026
2013-02-01	19	visit	6	1359662770763
2013-02-01	18080	visit	7	1359663004980
2013-02-01	4205	visit	5	1359661505000
2013-02-01	18400	install.	3	1359663153358
2013-02-01	19	visit	0	1359663038650
2013-02-01	4205	visit	5	1359663147000
2013-02-01	2139	visit	2	1359662857000
2013-02-01	18332	visit	6	1359663283199
2013-02-01	18165	visit	6	1359663078179
2013-02-01	121	visit	7	1359663013000
2013-02-01	18422	uninstall.	8	1359663014569
2013-02-01	427	visit	1	1359663045000
2013-02-01	18332	install.	2	1359663281565
2013-02-01	19	visit	4	1359663018031
2013-02-01	18400	visit	7	1359663153619
2013-02-01	18400	visit	9	1359663159318
